anquancaozuo 安全操作
bingxingcaozuohuanjing 并行操作环境
bingxingchazhaocunchuqi 并行查找存储器
bingxingchengxusheji 并行程序设计
bingxingchuli 并行处理
bingxingchulijishu 并行处理技术
bingxingchuanshu 并行传输
bingxingcunchuqi 并行存储器
bingxingdu 并行度
bingxingduankou 并行端口
bingxingduoyuanlianjie 并行多元连接
bingxingduoyuanlianjie 并行多元联结
bingxingeryuanlianjie 并行二元连接
bingxingeryuanlianjie 并行二元联结
bingxingfangzhen 并行仿真
bingxingganran 并行感染
bingxinggongcheng 并行工程
bingxinghua 并行化
bingxingjisuan 并行计算
bingxingjisuanji 并行计算机
bingxingjiafaqi 并行加法器
bingxingjianmo 并行建模
bingxinglianjie 并行连接
bingxinglianjie 并行联结
bingxingmoni 并行模拟
bingxingpaixusuanfa 并行排序算法
bingxingrenwu 并行任务
bingxingshishichuli 并行实时处理
bingxingshujuku 并行数据库
bingxingsousuo 并行搜索
bingxingsuanfa 并行算法
bingxingtuiliji 并行推理机
bingxingwaipaixu 并行外排序
bingxingxing 并行性
bingxingxuniji 并行虚拟机
bingxingxuanzesuanfa 并行选择算法
bingxingzhilingduilie 并行指令队列
binglianduanjie 并联端接
binglianpipei 并联匹配
bingdu 病毒
bingduqianming 病毒签名
bohaozhongduan 拨号终端
bodao 波导
bofangliebiao 播放列表
boyi 博弈
boyilun 博弈论
boyishu 博弈树
boyishusousuo 博弈树搜索
boyitu 博弈图
buchang 补偿
buchangshiwu 补偿事务
buchangwangluo 补偿网络
buma 补码
bumaqi 补码器
buse 补色
buhuoyichang 捕获异常
bubianliang 不变量
bubianshi 不变式
budengchangbianma 不等长编码
buguilingzhi 不归零制
buheluoji 不合逻辑
bujingquetuili 不精确推理
bujingquezhongduan 不精确中断
bukedilai 不可抵赖
bukekaojincheng 不可靠进程
bukenijiami 不可逆加密
bukezhongfudu 不可重复读
buquedingtuili 不确定推理
buquedingxingtuili 不确定性推理
buquedingzhengju 不确定证据
buquedingzhishi 不确定知识
butoumingdu 不透明度
buwanquanpaicuo 不完全排错
buwanquanshuju 不完全数据
buwanquanxinxi 不完全信息
buwanquanxing 不完全性
buwanquanxinglilun 不完全性理论
buyizhixing 不一致性
buzhongxing 不重性
buerbiaodashi 布尔表达式
buerchazhao 布尔查找
buerdaishu 布尔代数
buerguocheng 布尔过程
buersousuo 布尔搜索
bueryunsuan 布尔运算
bujin 步进
bujinkongzhi 步进控制
bukedaxing 步可达性
buxulie 步序列
bufenhanshuyilai 部分函数依赖
bufenzhengquexing 部分正确性
bujianbianma 部件编码
bujianchaifen 部件拆分
bushutu 部署图
caiyang 采样
caiyangchajian 采样插件
caiyangfangshi 采样方式
caiyangfenbu 采样分布
caiyangkongzhi 采样控制
caiyangpinlv 采样频率
caiyangqi 采样器
caiyangsulv 采样速率
caiyangwucha 采样误差
caiyangxitong 采样系统
caiyangzaosheng 采样噪声
caiyangzhouqi 采样周期
caisedayinji 彩色打印机
caisetuxiang 彩色图像
caisetuxingshipeiqi 彩色图形适配器
caisetuxingzhenlie 彩色图形阵列
caisexianshi 彩色显示
caisexianshiqi 彩色显示器
cankaodianyuan 参考电源
cankaojiankong 参考监控
cankaoma 参考码
cankaozhen 参考帧
canshuceshi 参数测试
canshuchuandi 参数传递
canshuguji 参数估计
canshuguzhang 参数故障
canshuhuasheji 参数化设计
canshujihe 参数几何
canshukongjian 参数空间
canyuzhe 参与者
canzhaowanzhengxing 参照完整性
cancuolv 残错率
canliushuju 残留数据
caozonggan 操纵杆
caozuobao 操作包
caozuobiao 操作表
caozuoceshi 操作测试
caozuoguocheng 操作过程
caozuokaiguan 操作开关
caozuokongzhi 操作控制
caozuokongzhiqi 操作控制器
caozuoma 操作码
caozuomingling 操作命令
caozuoshu 操作数
caozuoxitong 操作系统
caozuoyuyi 操作语义
caozuoyuanmingling 操作员命令
caozuoyuanshouce 操作员手册
caozuoyuanli 操作原理
celiangfanwei 测量范围
ceshiban 测试板
ceshibaogao 测试报告
ceshichengxu 测试程序
ceshidian 测试点
ceshifugai 测试覆盖
ceshiguiyue 测试规约
ceshiguocheng 测试过程
ceshihuanlu 测试环路
ceshihuilu 测试回路
ceshijihua 测试计划
ceshijieduan 测试阶段
ceshilicheng 测试例程
ceshirenwu 测试任务
ceshirizhi 测试日志
ceshishebei 测试设备
ceshishengcheng 测试生成
ceshishijian 测试时间
ceshishuju 测试数据
ceshishunxu 测试顺序
ceshitai 测试台
ceshitanzhen 测试探针
ceshitaoju 测试套具
ceshiwenben 测试文本
ceshixiangying 测试响应
ceshiyi 测试仪
ceshiyouxiaoxing 测试有效性
ceshiyuyan 测试语言
ceshiyushi 测试谕示
ceshiyunxing 测试运行
ceshizhenghou 测试症候
ceshizhishifu 测试指示符
ceshizhishiqi 测试指示器
ceshizonghe 测试综合
cengcicunchuxitong 层次存储系统
cengcifenjie 层次分解
cengcijiegou 层次结构
cengcijiegoutu 层次结构图
cengcimoxing 层次模型
cengcishiwenjianxitong 层次式文件系统
cengcishujuku 层次数据库
cengcishujumoxing 层次数据模型
cengciwang 层次网
cengcixuliejianma 层次序列键码
cengdieyangshibiao 层叠样式表
chaji 叉积
chashu 叉树
chacao 插槽
chajian 插件
chajiandaogui 插件导轨
chajianjia 插件架
chakong 插孔
chakongban 插孔板
charupaixu 插入排序
charuyichang 插入异常
chazhen 插针
chazhenyali 插针压力
chazhi 插值
chazhifa 插值法
chazuo 插座
chaxunyouhua 查询优化
chaxunyuyan 查询语言
chayan 查验
chazhao 查找
chazhaoshijian 查找时间
chacuo 差错
chacuobiao 差错表
chacuofanwei 差错范围
chacuohuifu 差错恢复
chacuojiance 差错检测
chacuojiancema 差错检测码
chacuokongzhi 差错控制
chacuoqianfuqi 差错潜伏期
chacuoxiaoyan 差错校验
chaifen 拆分
chaixian 拆线
chanpinanquan 产品安全
chanpinceshi 产品测试
chanpinguigeshuoming 产品规格说明
chanpinguiyue 产品规约
chanpinku 产品库
chanpinrenzheng 产品认证
chanpinshujuguanli 产品数据管理
changjianwenti 常见问题
changliang 常量
changliangshuoming 常量说明
changshituili 常识推理
changshuchuanbo 常数传播
changshuhebing 常数合并
changyongci 常用词
chaochangwenben 超长文本
chaochangzhengwen 超长正文
chaochangzhilingzi 超长指令字
chaojifuwuqi 超级服务器
chaojijisuan 超级计算
chaojijisuanji 超级计算机
chaolei 超类
chaolifangti 超立方体
chaolianjie 超链接
chaoliushuixian 超流水线
chaoliushuixianjiegou 超流水线结构
chaomeiti 超媒体
chaoqianbuchang 超前补偿
chaoshanqu 超扇区
chaoshi 超时
chaoshikongzhi 超时控制
chaoshipin 超视频
chaotushujujiegou 超图数据结构
chaowenben 超文本
chaowenbenbiaojiyuyan 超文本标记语言
chaowenbenchuanshuxieyi 超文本传输协议
chaowenbenchuansongxieyi 超文本传送协议
chaowenbenzhibiaoyuyan 超文本置标语言
chaoxianwen 朝鲜文
chechu 撤除
chexiao 撤消
chexiaohaiyuan 撤销还原
chengyuanbianliang 成员变量
chengyuanduixiang 成员对象
chengyuanfangfa 成员方法
chengyuanhanshu 成员函数
chengyuanlei 成员类
chengyuanneibulei 成员内部类
chengyuanwenti 成员问题
chengzibujian 成字部件
chengzuchuansong 成组传送
chengzufenye 成组分页
chengnuo 承诺
chengyuwang 城域网
chengfaqi 乘法器
chengxubaohu 程序保护
chengxubianyi 程序变异
chengxucunchu 程序存储
chengxucunchuyuanli 程序存储原理
chengxudaishu 程序代数
chengxudiaodu 程序调度
chengxudiaoduchengxu 程序调度程序
chengxuduan 程序段
chengxuduanbiao 程序段表
chengxuduihuan 程序对换
chengxugaoshou 程序高手
chengxugeshi 程序格式
chengxugeli 程序隔离
chengxuguiyue 程序规约
chengxuhuafen 程序划分
chengxujishuqi 程序计数器
chengxujicunqi 程序寄存器
chengxujubuxing 程序局部性
chengxukongzhi 程序控制
chengxuku 程序库
chengxukuai 程序块
chengxukuozhan 程序扩展
chengxulijie 程序理解
chengxuluojidanyuan 程序逻辑单元
chengxuminganguzhang 程序敏感故障
chengxuqueren 程序确认
chengxusheji 程序设计
chengxushejifangfaxue 程序设计方法学
chengxushejihuanjing 程序设计环境
chengxushejijishu 程序设计技术
chengxushejiluoji 程序设计逻辑
chengxushejiyuyan 程序设计语言
chengxushejizhichihuanjing 程序设计支持环境
chengxushengcheng 程序生成
chengxushengchengchengxu 程序生成程序
chengxushengchengqi 程序生成器
chengxutance 程序探测
chengxutixijiegou 程序体系结构
chengxuxiugai 程序修改
chengxuyanzheng 程序验证
chengxuyanzhengqi 程序验证器
chengxuyouxianji 程序优先级
chengxuyuanzuoye 程序员作业
chengxuzanting 程序暂停
chengxuzhengquexing 程序正确性
chengxuzhichiku 程序支持库
chengxuzhiliang 程序质量
chengxuzhongdingwei 程序重定位
chengxuzhongshi 程序重试
chengxuzhuanhuan 程序转换
chengxuzhuangrucaozuo 程序装入操作
chengxuzhuangruchengxu 程序装入程序
chengxuzhuangtai 程序状态
chengxuzonghe 程序综合
chijiuxing 持久性
chongtu 冲突
chongtudiaojie 冲突调解
chongtuji 冲突集
chongtujiance 冲突检测
chongtujianbie 冲突鉴别
chongtujiegou 冲突结构
chongtuxiangliang 冲突向量
chongtuxiaojie 冲突消解
chouxiangcengci 抽象层次
chouxiangfangfa 抽象方法
chouxianghanshu 抽象函数
chouxiangji 抽象机
chouxianglei 抽象类
chouxiangshujuleixing 抽象数据类型
chouxiangyuyanzu 抽象语言族
chucuochuli 出错处理
chucuochulilicheng 出错处理例程
chucuodengjichengxu 出错登记程序
chucuofengsuo 出错封锁
chucuolv 出错率
chucuowenjian 出错文件
chucuozhongduan 出错中断
chucuozhongduanchuli 出错中断处理
chushibiaoshi 初始标识
chushichengxuzhuangru 初始程序装入
chushihua 初始化
chushimoxing 初始模型
chushixulie 初始序列
chushizhuangru 初始装入
chushizhuangtai 初始状态
chuzhi 初值
chucuo 除错
chufa 除法
chufaqi 除法器
chulidanyuan 处理单元
chuliji 处理机
chulijidui 处理机对
chulijiliyong 处理机利用
chuliqi 处理器
chuliqidiaodu 处理器调度
chuliqifenpei 处理器分配
chuliqiguanli 处理器管理
chudian 触点
chufaqi 触发器
chumoping 触摸屏
chuandihanshu 传递函数
chuandixiangguanxing 传递相关性
chuandixing 传递性
chuanganqi 传感器
chuanshu 传输
chuanshucuowu 传输错误
chuanshukongzhixieyi 传输控制协议
chuanshumeiti 传输媒体
chuanshusunhao 传输损耗
chuanshuxian 传输线
chuanshuyanchi 传输延迟
chuansong 传送
chuantongyufa 传统语法
chuanzhi 传值
chuanxingchuanshu 串行传输
chuanxingdayinji 串行打印机
chuanxingdiaodu 串行调度
chuanxingduankou 串行端口
chuanxingjisuanji 串行计算机
chuanxingjiafa 串行加法
chuanxingjiafaqi 串行加法器
chuanxingpaixu 串行排序
chuanxingrenwu 串行任务
chuanxingshubiao 串行鼠标
chuankouyingpan 串口硬盘
chuangkoudaxiao 窗口大小
chuangkouhanshu 窗口函数
chuangjianriqi 创建日期
cipin 词频
cipindiaozheng 词频调整
cidai 磁带
cidaibiaohao 磁带标号
cidaigeshi 磁带格式
cidaikongzhiqi 磁带控制器
cidaiku 磁带库
cidaiqiouxiaoyan 磁带奇偶校验
cidaiqudongqi 磁带驱动器
cidaitoubiao 磁带头标
cidaiweibiao 磁带尾标
cidao 磁道
cidaogeshi 磁道格式
cidaokuandu 磁道宽度
cidaozhongxinju 磁道中心距
cika 磁卡
cimo 磁膜
cipan 磁盘
cipancaozuoxitong 磁盘操作系统
cipangaosuhuancun 磁盘高速缓存
cipanhuashang 磁盘划伤
cipanjingxiang 磁盘镜像
cipankongzhiqi 磁盘控制器
cipanrongyuzhenlie 磁盘冗余阵列
cipanshipeiqi 磁盘适配器
cipanshuanggong 磁盘双工
cipanzhenlie 磁盘阵列
cipao 磁泡
citiao 磁条
citou 磁头
cixin 磁心
cunchuban 存储板
cunchubaohu 存储保护
cunchudaikuan 存储带宽
cunchudanyuan 存储单元
cunchufugai 存储覆盖
cunchufugaiqu 存储覆盖区
cunchuganrao 存储干扰
cunchuguanli 存储管理
cunchuguanlicelve 存储管理策略
cunchuguanlifuwu 存储管理服务
cunchuguocheng 存储过程
cunchujuzhen 存储矩阵
cunchukongjian 存储空间
cunchumeiti 存储媒体
cunchumidu 存储密度
cunchumokuai 存储模块
cunchupeizhi 存储配置
cunchuqi 存储器
cunchuqicengci 存储器层次
cunchuqichongtu 存储器冲突
cunchuqidaikuan 存储器带宽
cunchuqifenpei 存储器分配
cunchuqitingdun 存储器停顿
cunchuqiyasuo 存储器压缩
cunchuqiyizhixing 存储器一致性
cunchuqizhihouxieru 存储器滞后写入
cunchuqizongxian 存储器总线
cunchurongliang 存储容量
cunchusuipian 存储碎片
cunchuti 存储体
cunchutichongtu 存储体冲突
cunchuxitong 存储系统
cunchuxinpian 存储芯片
cunchuyuanjian 存储元件
cunchuzaipeizhi 存储再配置
cunchuzhan 存储栈
cunchuzhenlie 存储阵列
cunchuzhouqi 存储周期
cunchuzhuanfa 存储转发
cunchuzhuanfawang 存储转发网
cundangwangdian 存档网点
cundangwenjian 存档文件
cungen 存根
cunqu 存取
cunqubi 存取臂
cunqubiao 存取表
cunquchongtu 存取冲突
cunquduilie 存取队列
cunqufanchou 存取范畴
cunqufangfa 存取方法
cunquguanlichengxu 存取管理程序
cunqujigou 存取机构
cunqujibie 存取级别
cunqujuzhen 存取矩阵
cunqujujue 存取拒绝
cunqukongzhi 存取控制
cunqukongzhijizhi 存取控制机制
cunquleixing 存取类型
cunququan 存取权
cunqushijian 存取时间
cunqutequan 存取特权
cunqutoumingxing 存取透明性
cunquweili 存取违例
cunquxuke 存取许可
cuowu 错误
cuowubuhuolicheng 错误捕获例程
cuowudaima 错误代码
cuowufenxi 错误分析
cuowufengsuo 错误封锁
cuowuhuifuguocheng 错误恢复过程
cuowujianyanma 错误检验码
cuowukongzhi 错误控制
cuowukongzhima 错误控制码
cuowukuadu 错误跨度
cuowukuosan 错误扩散
cuowuleibie 错误类别
cuowumoshi 错误模式
cuowumoxing 错误模型
cuowusabo 错误撒播
cuowushuju 错误数据
cuowutiaojian 错误条件
cuowuyuce 错误预测
cuowuzhenduan 错误诊断
cuowuzhuangtaizi 错误状态字
dayinfuwuqi 打印服务器
dayinji 打印机
dayinjijixin 打印机机芯
dayintou 打印头
dayinzhiliang 打印质量
dapingmuxianshiqi 大屏幕显示器
darongliangcunchuqi 大容量存储器
daxiaoxiebumingan 大小写不敏感
daxiaoxiechidun 大小写迟钝
daxiaoxiemingan 大小写敏感
daxingji 大型机
daxingjisuanji 大型计算机
dayusousuo 大于搜索
dayuzhong 大语种
daijiahanshu 代价函数
dailifuwu 代理服务
dailifuwuqi 代理服务器
daimabiao 代码表
daimakuochong 代码扩充
daimashencha 代码审查
daimashenji 代码审计
daimashengcheng 代码生成
daimashengchengqi 代码生成器
daimayidong 代码移动
daimayouhua 代码优化
daimazhuanhuanqi 代码转换器
daimazoucha 代码走查
dairufuhe 代入复合
daishuguiyue 代数规约
daishujianhua 代数简化
daishuluoji 代数逻辑
daishushujuleixing 代数数据类型
daishuyuyan 代数语言
daishuyuyi 代数语义
daifuhao 带符号
daijianshao 带减少
dainiuxie 带扭斜
daiyasuo 带压缩
daizhuangdianlan 带状电缆
daizhuangxian 带状线
daizimubiao 带字母表
daimingzhongduan 待命中断
daimingzhuangtai 待命状态
danbanjisuanji 单板计算机
danbianwangluo 单边网络
danbo 单播
danbucaozuo 单步操作
danbufa 单步法
danchuliqi 单处理器
danchunci 单纯词
danchunxing 单纯形
dandizhijisuanji 单地址计算机
dandianguzhang 单点故障
dandiankongzhi 单点控制
danduanduanjie 单端端接
danduanfangshi 单端方式
danduixiang 单对象
dangecuowu 单个错误
dangongchuanshu 单工传输
danguzhang 单故障
danhuiludiaojie 单回路调节
danhuilukongzhi 单回路控制
danji 单击
danjishebei 单级设备
danjincheng 单进程
danliezhichafengzhuang 单列直插封装
danliezhichashi 单列直插式
danmushijue 单目视觉
danpiancunchuqi 单片存储器
danpianji 单片机
danpianjisuanji 单片计算机
danpianxitong 单片系统
danrenwu 单任务
danrukoudian 单入口点
dansetuxingshipeiqi 单色图形适配器
dansexianshi 单色显示
dansexianshishipeiqi 单色显示适配器
danwenchufadianlu 单稳触发电路
danxitongyingxiang 单系统映像
danxiancheng 单线程
danxiangchuanshu 单向传输
danxianggongzuo 单向工作
danxiangguzhang 单向故障
danxianghanshu 单向函数
danxiangmima 单向密码
danxiangtongxin 单向通信
danxuananniu 单选按钮
danyaomimaxitong 单钥密码系统
danyibianzhikongjian 单一编址空间
danyishengchengshi 单一生成式
danyi 单义
danyonghu 单用户
danyonghucaozuoxitong 单用户操作系统
danyonghujisuanji 单用户计算机
danyuan 单元
danyuanbianma 单元编码
danyuanceshi 单元测试
danzhiling 单指令
danzijiexiaozheng 单字节校正
danzongxian 单总线
tanchushicaidan 弹出式菜单
tanchushixuandan 弹出式选单
danchu 淡出
danru 淡入
dangqianxingzhizhen 当前行指针
dangqianhuodongzhan 当前活动栈
dangqianmulu 当前目录
dangqianriqi 当前日期
dangqianshijian 当前时间
dangqianye 当前页
dangqianyonghu 当前用户
dangqianyouxianji 当前优先级
danganwenjian 档案文件
daochubiao 导出表
daochuguize 导出规则
daochuwenjian 导出文件
daohang 导航
daoruguiyue 导入规约
daoshuguji 导数估计
daojianchuanrao 道间串扰
daomidu 道密度
denglu 登录
denglujiaoben 登录脚本
dengchangbianma 等长编码
dengdai 等待
dengdaibimian 等待避免
dengdaibiao 等待表
dengdaiduilie 等待队列
dengdaishijian 等待时间
dengdaiyincang 等待隐藏
dengdaizhuangtai 等待状态
dengjiaguanxi 等价关系
dengjiawenti 等价问题
dengjiayunsuan 等价运算
dengshiluoji 等式逻辑
dengshixitong 等式系统
dengzhixiantu 等值线图
dijigeshihua 低级格式化
dijihuchi 低级互斥
dijiyuyan 低级语言
dizhi 地址
dizhibianhuan 地址变换
dizhidaihuan 地址代换
dizhigeshi 地址格式
dizhiguanli 地址管理
dizhijicunqi 地址寄存器
dizhijiexi 地址解析
dizhijiexixieyi 地址解析协议
dizhikongjian 地址空间
dizhiyanma 地址掩码
dizhiyingshe 地址映射
dizhiyuyue 地址预约
dizhiziduan 地址字段
dizhizongxian 地址总线
diguichaxun 递归查询
diguidingli 递归定理
diguifangfa 递归方法
diguiguji 递归估计
diguihanshu 递归函数
diguijisuan 递归计算
diguikuaibianma 递归块编码
diguilicheng 递归例程
diguisuanfa 递归算法
diguixiangliang 递归向量
diguixiangliangzhiling 递归向量指令
diguiyuyan 递归语言
dijiekongzhi 递阶控制
dituiguanxi 递推关系
disanfang 第三方
dianduidianlianjie 点对点连接
dianduidiantongxin 点对点通信
dianduidianxieyi 点对点协议
dianduiduodiantongxin 点对多点通信
dianfenshijinzhijifa 点分十进制记法
dianjishebei 点击设备
dianyunsuan 点运算
dianzhendayinji 点阵打印机
dianzhenjingdu 点阵精度
dianbaoma 电报码
dianlujiaohuan 电路交换
dianlujiaohuangongyongshujuwang 电路交换公用数据网
dianlujiaohuanshujuwang 电路交换数据网
dianlujiaohuanwang 电路交换网
dianluneiceshi 电路内测试
dianyuanzongxian 电源总线
dianzibiaoge 电子表格
dianzichuban 电子出版
dianzichubanwu 电子出版物
dianzifukuan 电子付款
dianzihanjian 电子函件
dianzihanjiandizhi 电子函件地址
dianzijisuanji 电子计算机
dianzijianshi 电子监视
dianzijinrong 电子金融
dianzimeiti 电子媒体
dianziqianming 电子签名
dianziqingbao 电子情报
dianzishangwu 电子商务
dianzishenru 电子渗入
dianzishichang 电子市场
dianziwenben 电子文本
dianziyoujian 电子邮件
dianziyoujianbieming 电子邮件别名
dianziyoujiandizhi 电子邮件地址
dianzizazhi 电子杂志
diaodu 调度
diaodubiao 调度表
diaoducelve 调度策略
diaoduchengxu 调度程序
diaoduduilie 调度队列
diaodufangshi 调度方式
diaoduguize 调度规则
diaodumokuai 调度模块
diaodusuanfa 调度算法
diaoduwenti 调度问题
diaoduxinxichi 调度信息池
diaoduziyuan 调度资源
diaoduzuoye 调度作业
diaopin 调频
diaoseban 调色板
diaoshi 调试
diaoshichengxu 调试程序
diaoshichengxubao 调试程序包
diaoshigongju 调试工具
diaoshilicheng 调试例程
diaoshimoxing 调试模型
diaoxiang 调相
diaoyong 调用
diaoyongzhe 调用者
diaozhi 调制
diaozhijiediaoqi 调制解调器
diedai 迭代
diedaigaijin 迭代改进
diedaiqi 迭代器
diedaisousuo 迭代搜索
dingbibianhuan 定比变换
dingdianjisuanji 定点计算机
dingdianshu 定点数
dingdianyunsuan 定点运算
dingjiefu 定界符
dinglizhengmingqi 定理证明器
dingqiweihu 定期维护
dingshiqi 定时器
dingshirenwu 定时任务
dingshiyueshu 定时约束
dingshizhatan 定时炸弹
dingwei 定位
dingweiqi 定位器
dingxiangsousuo 定向搜索
dingxingmiaoshu 定性描述
dingxingtuili 定性推理
dingyijieduan 定义阶段
dingyishujuleixing 定义数据类型
dingyixing 定义性
dingyixingchuxian 定义性出现
dingyiyu 定义域
dingzhi 定址
donghua 动画
dongtai 动态
dongtaibangding 动态绑定
dongtaibaohu 动态保护
dongtaiceshi 动态测试
dongtaichuli 动态处理
dongtaichuliqifenpei 动态处理器分配
dongtaicipin 动态词频
dongtaicipindiaozheng 动态词频调整
dongtaicunchufenpei 动态存储分配
