name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
user=pinyin.usr
assist=mb/yong.txt 2
baixiangcesh 白箱测试
baixiaohaozhouq 白消耗周期
baizaoshengfashengq 白噪声发生器
baizhantingdanhu 拜占庭弹回
baizhaowangk 百兆网卡
banbe 版本
banbenbianchen 版本编程
banbenguanl 版本管理
banbenha 版本号
banbenjianc 版本检测
banbenkongzh 版本控制
banbenshengj 版本升级
bandaoticunchuq 半导体存储器
bangongguochen 办公过程
bangonghuodon 办公活动
bangongliuchen 办公流程
bangongxinxixiton 办公信息系统
bangongzidonghu 办公自动化
bangongzidonghuamoxin 办公自动化模型
banjiaq 半加器
banjianq 半减器
bankaifangshisaomia 半开放式扫描
bankaisaomia 半开扫描
banlianji 半连接 半联结
banneishizhongfenpe 板内时钟分配
banruomiya 半弱密钥
bansedia 半色调
bansediaotuxian 半色调图像
banshangdianyuanfenpe 板上电源分配
banshiwufangzhe 半实物仿真
banshuanggongchuansh 半双工传输
bansuitiaojia 伴随条件
bansuixingbingd 伴随型病毒
bantoumin 半透明
bantuexiton 半图厄系统
banwaishizhongfenpe 板外时钟分配
banxianxingj 半线性集
banyin 半影
bangdin 绑定
bangdingyumin 绑定域名
bangshouzhut 帮手主体
bangzhuhezhich 帮助和支持
bangzhuhezhichizhongxi 帮助和支持中心
bangzhumul 帮助目录
bangzhuzhut 帮助主体
baobia 报表
baobiaoshengchengchengx 报表生成程序
baobiaoshengchengyuya 报表生成语言
baobiaoshuxiechengx 报表书写程序
baochiyilaifenji 保持依赖分解
baochoufenx 报酬分析
baocungengga 保存更改
baocunq 保存区
baocunwangy 保存网页
baofen 包封
baofengyingyi 暴风影音
baofuxingguyua 报复性雇员
baogaoyuya 报告语言
baoguol 包过滤
baoguolvjish 包过滤技术
baohecijil 饱和磁记录
baoh 保护
baohucuosh 保护措施
baohud 保护地
baohuduilieq 保护队列区
baohufangsh 保护方式
baohufangwe 保护访问
baojiam 包加密
baojiaohua 包交换
baojiaohuangongyongshujuwan 包交换公用数据网
baojiaohuanshujuwan 包交换数据网
baojiaohuanwan 包交换网
baojiaohuanzongxia 包交换总线
baojin 报警
baojingxiansh 报警显示
baojingxinha 报警信号
baojingzha 报警站
baoleizhuj 堡垒主机
baoliujinweijiafaq 保留进位加法器
baoliujua 保留卷
baoliuneicu 保留内存
baoliuyexuanxian 保留页选项
baoliuzha 保留站
baoliuz 保留字
baol 暴露
baom 保密 薄膜
baomichengx 保密程序
baomifenj 保密分级
baomijibi 保密级别
baomishouxuanpingtaixiangm 保密首选平台项目
baomixin 保密性
baomocipa 薄膜磁盘
baomocito 薄膜磁头
baomodianl 薄膜电路
baomojianpa 薄膜键盘
baomojingtigua 薄膜晶体管
baoshizhongdua 包式终端
baoweih 包围盒
baoweihecesh 包围盒测试
baowe 报文
baowenbuhu 报文捕获
baowenjiam 报文加密
baowenjianbi 报文鉴别
baowenjianbiem 报文鉴别码
baowenjiaohua 报文交换
baowenzhaiya 报文摘要
baowenzhaiy 报文摘译
baoxingchazh 保形插值
baozhen 保证
baozhuan 包装
baozhuangchaiq 包装拆器
baozhuangle 包装类
beiba 背板
beibaowent 背包问题
beicebianlian 被测变量
beidiaoyongzh 被调用者
beidongchaxu 被动查询
beidongmoshimimaduany 被动模式密码短语
beidongweixi 被动威胁
beidongzha 被动站
beie 贝尔
beifangdizh 被访地址
beife 备份
beifencaozu 备份操作
beifenguichen 备份规程
beifenguochen 备份过程
beifenjihu 备份计划
beifenwenjia 备份文件
beifenyuhuif 备份与恢复
beifenyukongzhiq 备份域控制器
beifenzhidingluyouq 备份指定路由器
beijiaiqumia 贝济埃曲面
beijiaiquxia 贝济埃曲线
beijia 备件
beijings 背景色
beimiduruanpa 倍密度软盘
beisaie 贝赛尔
beisaierquxia 贝赛尔曲线
beishouqua 被授权
beiyesidingl 贝叶斯定理
beiyesifenleiq 贝叶斯分类器
beiyesifenx 贝叶斯分析
beiyesijuecefangf 贝叶斯决策方法
beiyesijueceguiz 贝叶斯决策规则
beiyesiluoj 贝叶斯逻辑
beiyesituil 贝叶斯推理
beiyesituiliwanglu 贝叶斯推理网络
beiyon 备用
beiyongrongy 备用冗余
beiyongtidairongy 备用替代冗余
beiyongxiton 备用系统
bendidaim 本地代码
bendidizh 本地地址
bendidizhiguanl 本地地址管理
bendijiadia 本地加电
bendijieko 本地接口
bendiwanglu 本地网络
bendizhongdua 本地终端
bentilu 本体论
bentuanquanfaa 本土安全法案
benyin 本影
benyuanyany 本原演绎
benzhishixia 本质失效
bengku 崩溃
bengzuoyongyinl 泵作用引理
biba 闭包
bibeifuw 必备服务
bicu 避错
bihedianl 闭合电路
bihehuanl 闭合环路
bihesh 闭合式
biheyonghuqu 闭合用户群
bihu 笔画
bihuabianm 笔画编码
bihuam 笔画码
bihuaxiansh 笔画显示
bihuandianbotanceq 闭环电波探测器
bihuankongzh 闭环控制
bijibendiannaochuliq 笔记本电脑处理器
bijibenhu 笔记本化
bijibenshijisuanj 笔记本式计算机
bijia 比较
bijiaobingjiaohua 比较并交换
bijiaoq 比较器
bijiaoqiwanglu 比较器网络
bijiaoyuyanxu 比较语言学
bilibianhua 比例变换
bilida 比例带
bilijifenweifenkongzh 比例积分微分控制
bilikongzh 比例控制
bimiansuanfacansh 避免算法参数
bish 笔数
bishurujisuanj 笔输入计算机
bishu 笔顺
bit 比特 鼻涕
bitehuixin 比特彗星
bitejinglin 比特精灵
bitel 比特率
bitexinlin 比特信令
biyingsousuoyinqin 必应搜索引擎
bizhikongzh 比值控制
bianca 变参
bianchangbianm 变长编码
bianchen 编程
bianchengyuya 编程语言
bianchengzhiducunchuq 编程只读存储器
biand 变度
bianfuga 边覆盖
biangengzhuanch 变更转储
bianh 辩护
bianhuajianc 变化检测
bianhua 变换
bianhuanbianm 变换编码
bianhuanchul 变换处理
bianhuanfenx 变换分析
bianhuanguiz 变换规则
bianhuanpangchahuanchongq 变换旁查缓冲器
bianhuanxiton 变换系统
bianhuanxianxinghuanchongq 变换先行缓冲器
bianhuanyuy 变换语义
bianhuanzhongxi 变换中心
bianjichengsh 编辑程式
bianjichengx 编辑程序
bianjijul 编辑距离
bianjiq 编辑器
bianjiyemia 编辑页面
bianjianshicunchuq 便笺式存储器
bianjia 变焦
bianji 边界
bianjiebaohujizh 边界保护机制
bianjiebiaosh 边界表示
bianjiecuow 边界错误
bianjiegenzon 边界跟踪
bianjiejicunq 边界寄存器
bianjiejianc 边界检测
bianjiejianch 边界检查
bianjiejianm 边界建模
bianjieluyouq 边界路由器
bianjiemaq 编解码器
bianjiemoxin 边界模型
bianjiesaomia 边界扫描
bianjieshifanghuoqian 边界式防火墙
bianjietiaojia 边界条件
bianjiewanggua 边界网关
bianjiewangguanxiey 边界网关协议
bianjiexiangs 边界像素
biankuan 边框
bianl 遍历
bianlian 变量
bianlianghuashej 变量化设计
bianliuq 变流器
bianm 编码 编目
bianmabiaosh 编码表示
bianmab 编码簿
bianmaf 编码法
bianmafangf 编码方法
bianmajiemaq 编码解码器
bianmaq 编码器
bianmaxiaol 编码效率
bianmaxingsh 编码形式
bianmazh 编码值
bianmazif 编码字符
bianmazifuj 编码字符集
bianpinq 变频器
bianpingdianla 扁平电缆
bianpingfengzhuan 扁平封装
bianqia 变迁
bianqianguiz 变迁规则
bianqianshishisul 变迁实施速率
bianqianxiton 变迁系统
bianqianxuli 变迁序列
bianqianziwan 变迁子网
bianxiebiand 边写边读
bianxieshijisuanj 便携式计算机
bianxin 变形
bianyanchuf 边沿触发
biany 变异 编译
bianyicansh 编译参数
bianyichengx 编译程序
bianyichengxudebianyichengx 编译程序的编译程序
bianyichengxudeshengchengchengx 编译程序的生成程序
bianyichengxuguiyueyuya 编译程序规约语言
bianyileixin 编译类型
bianyiq 编译器
bianyish 编译时
bianyishicuow 编译时错误
bianyixiton 编译系统
bianyixuanxian 编译选项
bianyua 边缘
bianyuancaozu 边缘操作
bianyuancesh 边缘测试
bianyuanchufashizhon 边缘触发时钟
bianyuancuoju 边缘错觉
bianyuanfanhu 边缘泛化
bianyuanfeng 边缘分割
bianyuanguzhan 边缘故障
bianyuanjianc 边缘检测
bianyuanjianya 边缘检验
bianyuanjujia 边缘聚焦
bianyuanlianji 边缘连接
bianyuanlianjieq 边缘连接器
bianyuannih 边缘拟合
bianyuanpipe 边缘匹配
bianyuansuanz 边缘算子
bianyuantiq 边缘提取
bianyuantiaozhen 边缘调整
bianyuantuxian 边缘图像
bianyuanxiangs 边缘像素
bianyuanzengqian 边缘增强
bianzh 变址 编址
bianzhijicunq 变址寄存器
biaocengg 表层格
biaochul 表处理
biaochuliyuya 表处理语言
biaodiaod 表调度
biaoha 标号
biaohaohuaanqua 标号化安全
biaohaokedash 标号可达树
biaohaopeiteliwan 标号佩特里网
biaojibianlian 标记变量
biaojileixin 标记类型
biaojiliul 标记流路
biaojiyueduj 标记阅读机
biaojueq 表决器
biaojuexiton 表决系统
biaolian 标量
biaoliangchuliq 标量处理器
biaoliangjisuanj 标量计算机
biaoliangliushuixia 标量流水线
biaoliangshujuliufenx 标量数据流分析
biaomiananzhuanghanji 表面安装焊接
biaomiananzhuangjish 表面安装技术
biaomiananzhuangqijia 表面安装器件
biaomianmoh 表面模糊
biaoqianj 标签集
biaoqianmin 标签名
biaoqianyich 标签移除
biaosh 标识
biaoshibianlian 标识变量
biaoshicen 表示层
biaoshijianbi 标识鉴别
biaoshimokua 标识模块
biaoshiquanbia 标识权标
biaoshiquere 标识确认
biaoshizhengmin 标识证明
biaoto 表头
biaoxin 标星
biaoyiweijiaohuanj 表溢位交换机
biaoyuesh 表约束
biaozh 标志 标识
biaozhibianlian 标识变量
biaozhif 标志符 标识符
biaozhijianbi 标识鉴别
biaozhiquanbia 标识权标
biaozhiquere 标识确认
biaozhitiq 标志提取
biaozhixuli 标志序列
biaozhizhengmin 标识证明
biaozhu 标准
biaozhunchengxuf 标准程序法
biaozhunchengxuk 标准程序库
biaozhunchulifangsh 标准处理方式
biaozhundanyua 标准单元
biaozhunduixian 标准对象
biaozhunfududa 标准幅度带
biaozhungongjula 标准工具栏
biaozhunk 标准库
biaozhunniuxieda 标准扭斜带
biaozhunshishiq 标准实施器
biaozhunshuch 标准输出
biaozhunshuchuwenjia 标准输出文件
biaozhunshur 标准输入
biaozhunshuruwenjia 标准输入文件
biaozhunsududa 标准速度带
biaozhuntongyongzhibiaoyuya 标准通用置标语言
biaozhunwenjia 标准文件
biaozhunxingshixiatuizidongj 标准形式下推自动机
biaozhunyuya 标准语言
biaozhunzhongdua 标准中断
biemin 别名
biemingfenx 别名分析
bingchuanxingzhuanhuanq 并串行转换器
bingdingl 并定理
bingd 病毒
bingduezuoj 病毒恶作剧
bingdufangzh 病毒防治
bingduqianmin 病毒签名
bingduyua 病毒园
bingduzhilingmamonif 病毒指令码模拟法
bingf 并发
bingfabianqia 并发变迁
bingfacaozuoxiton 并发操作系统
bingfachengxushej 并发程序设计
bingfachul 并发处理
bingfadubingfaxi 并发读并发写
bingfafangzhe 并发仿真
bingfagongl 并发公理
bingfaguzhangjianc 并发故障检测
bingfaguanx 并发关系
bingfajinchen 并发进程
bingfakongzh 并发控制
bingfakongzhijizh 并发控制机制
bingfakongzhixiton 并发控制系统
bingfamon 并发模拟
bingfaxinxixiton 并发信息系统
bingh 冰河
binglianduanji 并联端接
binglianpipe 并联匹配
bingxin 并行
bingxingbianchengyuya 并行编程语言
bingxingcaozu 并行操作
bingxingcaozuohuanjin 并行操作环境
bingxingchazhaocunchuq 并行查找存储器
bingxingchengxushej 并行程序设计
bingxingchul 并行处理
bingxingchulijicaozuoxiton 并行处理机操作系统
bingxingchulijish 并行处理技术
bingxingchuansh 并行传输
bingxingcunchuq 并行存储器
bingxingd 并行度
bingxingduanko 并行端口
bingxingduoyuanlianji 并行多元连接 并行多元联结
bingxingeryuanlianji 并行二元连接 并行二元联结
bingxingfangzhe 并行仿真
bingxingganra 并行感染
bingxinggongchen 并行工程
bingxinghu 并行化
bingxingjisua 并行计算
bingxingjisuanj 并行计算机
bingxingjisuanlunt 并行计算论题
bingxingjiafaq 并行加法器
bingxingjianm 并行建模
bingxingjieko 并行接口
bingxingko 并行口
bingxinglianji 并行连接 并行联结
bingxingmon 并行模拟
bingxingpaixusuanf 并行排序算法
bingxingrenw 并行任务
bingxingrenwupaishen 并行任务派生
bingxingshishichul 并行实时处理
bingxingshujuk 并行数据库
bingxingsousu 并行搜索
bingxingsuanf 并行算法
bingxingt 饼形图
bingxingtulunsuanf 并行图论算法
bingxingtuxingsuanf 并行图形算法
bingxingtuilij 并行推理机
bingxingwaipaix 并行外排序
bingxingxin 并行性
bingxingxunij 并行虚拟机
bingxingxuanzesuanf 并行选择算法
bingxingzhilingduili 并行指令队列
bingxingzhixin 并行执行
boda 波导
bodet 伯德图
boerzimanj 玻尔兹曼机
bofangliebia 播放列表
bofangshengyi 播放声音
bofenfuyon 波分复用
bofengha 波峰焊
boha 拨号
bohaozhongdua 拨号终端
bolihuanyangba 玻璃环氧板
bom 薄膜
bomocipa 薄膜磁盘
bomocito 薄膜磁头
bomodianl 薄膜电路
bomojianpa 薄膜键盘
bomojingtigua 薄膜晶体管
bomojingtiguanyejingxianshiq 薄膜晶体管液晶显示器
bonulipa 伯努利盘
bositexiton 波斯特系统
bot 波特
botel 波特率
boxin 波形
boxingliushuixia 波形流水线
boy 博弈
boyilu 博弈论
boyish 博弈树
boyishusousu 博弈树搜索
boyit 博弈图
bubeixinrendechengx 不被信任的程序
bubiandaimayich 不变代码移出
bubianlian 不变量
bubiansh 不变式
buchangshiw 补偿事务
buchangwanglu 补偿网络
buchangxingkongzh 补偿性控制
buchongxingkongzh 补充性控制
budengchangbianm 不等长编码
budin 补丁
bud 布毒
buduichengshuziyonghufuwuxia 不对称数字用户服务线
buerbiaodash 布尔表达式
buerchazha 布尔查找
buerdaish 布尔代数
buerguochen 布尔过程
buersousu 布尔搜索
bueryunsua 布尔运算
buerzh 布尔值
bufenchenjinshixunixiansh 部分沉浸式虚拟现实
bufenhanshuyila 部分函数依赖
bufenjiadia 部分加电
bufenzhengquexin 部分正确性
buguilingzh 不归零制
buheluoj 不合逻辑
buhuaj 步话机
buhu 捕获
buhuoyichan 捕获异常
bujianbianm 部件编码
bujianchaife 部件拆分
bujianduandianyua 不间断电源
bujianm 部件码
bujianshiyongpind 部件使用频度
bujianzuzipind 部件组字频度
bujiaofuxian 不交付项
buji 步进
bujindianj 步进电机
bujinkongzh 步进控制
bujingquetuil 不精确推理
bujingquezhongdua 不精确中断
buj 布局
bujucelu 布局策略
bujuguiz 布局规则
bujujiediguiz 布局接地规则
bukechongfud 不可重复读
bukecunqud 不可存取的
bukedamuded 不可达目的地
bukedaxin 步可达性
bukedila 不可抵赖
bukefenyedongtaiq 不可分页动态区
bukekaojinchen 不可靠进程
bukenijiam 不可逆加密
bukepandingwent 不可判定问题
bum 补码
bumaq 补码器
buqiyon 不启用
buquedingtuil 不确定推理
buquedingxingtuil 不确定性推理
buquedingzhengj 不确定证据
buquedingzhish 不确定知识
bus 补色
bushut 部署图
busichengfaq 布思乘法器
busisuanf 布思算法
butoumingd 不透明度
buwanquanpaicu 不完全排错
buwanquanshuj 不完全数据
buwanquanxinx 不完全信息
buwanquanxin 不完全性
buwanquanxinglilu 不完全性理论
buxia 布线
buxianchengx 布线程序
buxianguiz 布线规则
buxuli 步序列
buyizhixin 不一致性
buzhongxin 不重性
cabianchengzhiducunchuq 擦编程只读存储器
cach 擦除
caibancelu 采办策略
caibanjihu 采办计划
caida 菜单
caidia 踩点
caijianba 裁剪板
caijianqumia 裁剪曲面
caisedayinj 彩色打印机
caisetuxian 彩色图像
caisetuxingshipeiq 彩色图形适配器
caisetuxingzhenli 彩色图形阵列
caisexiansh 彩色显示
caisexianshiq 彩色显示器
caiwuyitihuaruanjia 财务一体化软件
caiwuzhugua 财务主管
caiyan 采样
caiyangchajia 采样插件
caiyangfangsh 采样方式
caiyangfenb 采样分布
caiyangkongzh 采样控制
caiyangpinl 采样频率
caiyangq 采样器
caiyangsul 采样速率
caiyangwuch 采样误差
caiyangxiton 采样系统
caiyangzaoshen 采样噪声
caiyangzhouq 采样周期
cancuol 残错率
canka 参考
cankaodianyua 参考电源
cankaojiankon 参考监控
cankaom 参考码
cankaozhe 参考帧
canliushuj 残留数据
cansh 参数
canshucesh 参数测试
canshuchuand 参数传递
canshuguj 参数估计
canshuguzhan 参数故障
canshuhuashej 参数化设计
canshujih 参数几何
canshukongjia 参数空间
canshuqumiannih 参数曲面拟合
canshuxinx 参数信息
canyuzh 参与者
canzhaowanzhengxin 参照完整性
cangkuwenjia 仓库文件
caogaozhilian 草稿质量
caoha 槽号
caopaix 槽排序
caoqu 槽群
caozongga 操纵杆
caozuoba 操作包
caozuobia 操作表
caozuocesh 操作测试
caozuoguichen 操作规程
caozuoguochen 操作过程
caozuokaigua 操作开关
caozuokongzh 操作控制
caozuokongzhiq 操作控制器
caozuom 操作码
caozuominglin 操作命令
caozuoshiw 操作失误
caozuosh 操作数
caozuoxiton 操作系统
caozuoxitongbingd 操作系统病毒
caozuoxitongchuliq 操作系统处理器
caozuoxitonggongnen 操作系统功能
caozuoxitonggoujia 操作系统构件
caozuoxitongguanlichengx 操作系统管理程序
caozuoxitongjiankongchengx 操作系统监控程序
caozuoxitongxingbingd 操作系统型病毒
caozuoyuy 操作语义
caozuoyuanl 操作原理
caozuoyuanminglin 操作员命令
caozuoyuanshouc 操作员手册
cedingfangf 测定方法
celiangfanwe 测量范围
celueguanl 策略管理
celueguanlijigo 策略管理机构
cesh 测试 测试
ceshiba 测试板
ceshibaoga 测试报告
ceshicelu 测试策略
ceshichengx 测试程序
ceshicunquduanko 测试存取端口
ceshidia 测试点
ceshifuga 测试覆盖
ceshiguiyu 测试规约
ceshiguochen 测试过程
ceshihuanl 测试环路
ceshihuil 测试回路
ceshijihu 测试计划
ceshijiedua 测试阶段
ceshikechongfuxin 测试可重复性
ceshilichen 测试例程
ceshimashengchengchengx 测试码生成程序
ceshiminglin 测试命令
ceshimud 测试目的
ceshipingg 测试评估
ceshiqudongchengx 测试驱动程序
ceshiqudongq 测试驱动器
ceshirenw 测试任务
ceshirizh 测试日志
ceshishebe 测试设备
ceshishengchen 测试生成
ceshishijia 测试时间
ceshishuj 测试数据
ceshishujushengchengchengx 测试数据生成程序
ceshishunx 测试顺序
ceshita 测试台
ceshitanzhe 测试探针
ceshitaoj 测试套具
ceshiwenbe 测试文本
ceshixiangyin 测试响应
ceshiy 测试仪
ceshiyongl 测试用例
ceshiyonglishengchengchengx 测试用例生成程序
ceshiyouxiaoxin 测试有效性
ceshiyush 测试谕示
ceshiyuya 测试语言
ceshiyunxin 测试运行
ceshizhengho 测试症候
ceshizhishif 测试指示符
ceshizhishiq 测试指示器
ceshiziyua 测试资源
ceshizongh 测试综合
ceshizongji 测试总结
ceyizh 侧抑制
cengcicunchuxiton 层次存储系统
cengcifenji 层次分解
cengcifenxichul 层次分析处理
cengcijiego 层次结构
cengcijiegout 层次结构图
cengcimoxin 层次模型
cengcishiwenjianxiton 层次式文件系统
cengcishujuk 层次数据库
cengcishujumoxin 层次数据模型
cengciwan 层次网
cengcixuliejianm 层次序列键码
cengdieyangshibia 层叠样式表
cengxichengxian 层析成像
cengxish 层析术
cengyaba 层压板
chabuchengx 插补程序
chabuq 插补器
chaca 插槽
chacu 差错
chacuobia 差错表
chacuofanwe 差错范围
chacuohuif 差错恢复
chacuojianc 差错检测
chacuojiancem 差错检测码
chacuojiaoya 差错校验
chacuojiaoyanxiton 差错校验系统
chacuokongzh 差错控制
chacuokongzhibianm 差错控制编码
chacuoqianfuq 差错潜伏期
chacuozhishidianl 差错指示电路
chadongxinhaoqudongq 差动信号驱动器
chafendianyaxinha 差分电压信号
chafenfangsh 差分方式
chafenmaimatiaozh 差分脉码调制
chafenmimafenx 差分密码分析
chafenshuangjiaoxia 差分双绞线
chaj 叉积
chajia 插件
chajianba 插件板
chajianbianyuanlianjieq 插件边缘连接器
chajiandaogu 插件导轨
chajianji 插件架
chajianla 插件栏
chajiejianrongjisuanj 插接兼容计算机
chakanyuandaim 查看源代码
chakon 插孔
chakongba 插孔板
chaqifuha 查讫符号
charupaix 插入排序
charuweizh 插入位置
charuwenbe 插入文本
charuyichan 插入异常
chasebia 查色表
chash 查杀 叉树
chaxunfenxiq 查询分析器
chaxunyouhu 查询优化
chaxunyuya 查询语言
chayakongzhiq 差压控制器
chaya 查验
chazha 查找
chazhaobianyua 查找边缘
chazhaoq 查找器
chazhaoshijia 查找时间
chazhe 插针
chazhenyal 插针压力
chazh 插值
chazhif 插值法
chazu 插座
chaife 拆分
chaixia 拆线
chanpinanqua 产品安全
chanpincesh 产品测试
chanpinguigeshuomin 产品规格说明
chanpinguiyu 产品规约
chanpink 产品库
chanpinrenzhen 产品认证
chanpinshujuguanl 产品数据管理
chanshengshiguiz 产生式规则
chanshengshixiton 产生式系统
chanshengshiyuyanzhish 产生式语言知识
changdiguzhan 场地故障
changdizizh 场地自治
changduy 长度域
changguimimatizh 常规密码体制
changguixinxixiton 常规信息系统
changguixuanxian 常规选项
changjianwent 常见问题
changjuliyicunguanx 长距离依存关系
changlian 常量
changliangshuomin 常量说明
changpi 场频
changqixiangguanxin 长期相关性
changshituil 常识推理
changshiwuguanl 长事务管理
changshuchuanb 常数传播
changshuhebin 常数合并
changwaixinx 场外信息
changweifenfangchen 常微分方程
changwenjianmin 长文件名
changyongc 常用词
changyongduanko 常用端口
changyongruanjia 常用软件
changzhengsh 长整数
changzhucaozuoxiton 常驻操作系统
changzhucipancaozuoxiton 常驻磁盘操作系统
changzhukongzhichengx 常驻控制程序
chaobiaolian 超标量
chaobiaoliangjiego 超标量结构
chaochangwenbe 超长文本
chaochangzhengwe 超长正文
chaochangzhilingz 超长指令字
chaochikongzh 超驰控制
chaodaocunchuq 超导存储器
chaodiweisulvbianm 超低位速率编码
chaoduixian 超对象
chaogaosujichengdianl 超高速集成电路
chaoguiji 超归结
chaojibianyichengx 超级编译程序
chaojibianyiq 超级编译器
chaojicaozu 超级操作
chaojifuwuq 超级服务器
chaojijisua 超级计算
chaojijisuanj 超级计算机
chaojikeh 超级客户
chaojishipintuxingshipeiq 超级视频图形适配器
chaojituofan 超级拖放
chaojixiaoxingjisuanj 超级小型计算机
chaojixunjin 超级巡警
chaojiyingdi 超级影碟
chaojiyongh 超级用户
chaojia 抄件
chaole 超类
chaolifangt 超立方体
chaolianji 超链接
chaoliushuixia 超流水线
chaoliushuixianjiego 超流水线结构
chaomeit 超媒体
chaoqianbuchan 超前补偿
chaoshanq 超扇区
chaoshengbochuanganq 超声波传感器
chaosh 超时
chaoshikongzh 超时控制
chaoshipi 超视频
chaotushujujiego 超图数据结构
chaowenbe 超文本
chaowenbenbiaojiyuya 超文本标记语言
chaowenbenchuanshuxiey 超文本传输协议
chaowenbenchuansongxiey 超文本传送协议
chaowenbenlianji 超文本链接
chaowenbenzhibiaoyuya 超文本置标语言
chaoxianchengjish 超线程技术
chaoyany 超演绎
chaoyujiesh 超预解式
chech 撤除
chexia 撤消
chexiaohuanyua 撤销还原
chexiaoyuany 撤消原语
chenbid 衬比度
chend 衬底 沉底
chenjinga 沉浸感
chenjinshixunixiansh 沉浸式虚拟现实
chenshuxingzhish 陈述性知识
chengbenfengxianfenx 成本风险分析
chengbenxiaoy 成本效益
chengbenxiaoyifenx 成本效益分析
chengfaq 乘法器
chengfenyuyixu 成分语义学
chengjimim 乘积密码
chengjiqumia 乘积曲面
chengkongjiaohua 程控交换
chengnu 承诺
chengshangjicunq 乘商寄存器
chengshoud 成熟度
chengshud 成熟度
chengxian 成像
chengx 程序
chengxubaoh 程序保护
chengxubianxi 程序编写
chengxubiany 程序变异
chengxucelu 程序策略
chengxuch 程序池
chengxuchongdingwe 程序重定位
chengxuchongsh 程序重试
chengxuchuanboq 程序传播器
chengxucunch 程序存储
chengxucunchujisuanj 程序存储计算机
chengxucunchuyuanl 程序存储原理
chengxudaish 程序代数
chengxudiaod 程序调度
chengxudiaoduchengx 程序调度程序
chengxudua 程序段
chengxuduanbia 程序段表
chengxuduihua 程序对换
chengxufenyegongnen 程序分页功能
chengxugaiyaofenx 程序概要分析
